
5			0	0	
			1	2	
			703.6000	703.6000	
			184.2000	264.4000	
118	25.1425	-6.54297	0.0000	14.0000	1	118
119	25.1925	-6.54297	0.0000	0.0000	1	119
120	25.2425	-6.54297	0.0000	0.0000	1	120
121	25.2925	-6.54297	0.0000	0.0000	1	121
122	25.3425	-6.54297	0.0000	4.0000	1	122
123	25.3925	-6.54297	0.0000	9.0000	1	123
124	25.4425	-6.54297	6.0000	4.0000	1	124
125	25.4925	-6.54297	3.0000	0.0000	1	125
126	25.5425	-6.54297	0.0000	0.0000	1	126
127	25.5925	-6.54297	0.0000	0.0000	1	127
128	25.6425	-6.54297	0.0000	0.0000	1	128
129	25.6925	-6.54297	0.0000	0.0000	1	129
130	25.7425	-6.54297	0.0000	0.0000	1	130
131	25.7925	-6.54297	13.0000	0.0000	1	131
132	25.8425	-6.54297	17.0000	0.0000	1	132
133	25.8925	-6.54297	0.0000	0.0000	1	133
134	25.9425	-6.54297	20.0000	19.0000	1	134
135	25.9925	-6.54297	0.0000	18.0000	1	135
136	26.0425	-6.54297	0.0000	0.0000	1	136
137	26.0925	-6.54297	10.0000	12.0000	1	137
138	26.1425	-6.54297	0.0000	0.0000	1	138
139	26.1925	-6.54297	0.0000	7.0000	1	139
140	26.2425	-6.54297	0.0000	3.0000	1	140
141	26.2925	-6.54297	0.0000	0.0000	1	141
142	26.3425	-6.54297	0.0000	16.0000	1	142
143	26.3925	-6.54297	0.0000	8.0000	1	143
144	26.4425	-6.54297	10.0000	0.0000	1	144
145	26.4925	-6.54297	11.0000	5.0000	1	145
146	26.5425	-6.54297	6.0000	7.0000	1	146
147	26.5925	-6.54297	4.0000	7.0000	1	147
148	26.6425	-6.54297	6.0000	6.0000	1	148
149	26.6925	-6.54297	0.0000	0.0000	1	149
150	26.7425	-6.54297	0.0000	6.0000	1	150
151	26.7925	-6.54297	0.0000	3.0000	1	151
152	26.8425	-6.54297	0.0000	0.0000	1	152
153	26.8925	-6.54297	0.0000	0.0000	1	153
154	26.9425	-6.54297	0.0000	0.0000	1	154
155	26.9925	-6.54297	0.0000	0.0000	1	155
156	27.0425	-6.54297	6.0000	0.0000	1	156
157	27.0925	-6.54297	5.0000	0.0000	1	157
158	27.1425	-6.54297	5.0000	0.0000	1	158
159	27.1925	-6.54297	8.0000	0.0000	1	159
160	27.2425	-6.54297	12.0000	10.0000	1	160
161	27.2925	-6.54297	6.0000	11.0000	1	161
162	27.3425	-6.54297	0.0000	0.0000	1	162
163	27.3925	-6.54297	0.0000	6.0000	1	163
164	27.4425	-6.54297	0.0000	0.0000	1	164
165	27.4925	-6.54297	18.0000	0.0000	1	165
166	27.5425	-6.54297	15.0000	0.0000	1	166
167	27.5925	-6.54297	0.0000	4.0000	1	167
168	27.6425	-6.54297	0.0000	2.0000	1	168
169	27.6925	-6.54297	0.0000	0.0000	1	169
170	27.7425	-6.54297	0.0000	6.0000	1	170
171	27.7925	-6.54297	0.0000	0.0000	1	171
172	27.8425	-6.54297	0.0000	0.0000	1	172
173	27.8925	-6.54297	0.0000	0.0000	1	173
174	27.9425	-6.54297	0.0000	0.0000	1	174
175	27.9925	-6.54297	0.0000	0.0000	1	175
176	28.0425	-6.54297	0.0000	0.0000	1	176
177	28.0925	-6.54297	0.0000	0.0000	1	177
