sample,amount_ng,level
Cal_rep01_L2,100000,L2
Cal_rep01_L3,50000,L3
Cal_rep01_L4,10000,L4
Cal_rep01_L5,5000,L5
Cal_rep01_L6,1000,L6
Cal_rep01_L7,100,L7
Cal_rep01_background,0,background
