sample,amount_ng,level
Cal_rep01_L1,10,L1
Cal_rep01_L2,1,L2
Cal_rep01_L3,0.1,L3
Cal_rep01_L4,0.01,L4
Cal_rep01_L5,0.001,L5
Cal_rep01_L6,1.00E-04,L6
Cal_rep01_L7,0,L7
